BRAND,MODEL,TRIM,ITEM DESCRIPTION,WARRANTY,SEGMENT
MAXUS,S50,2T,MAXUS S50 2T,"5 YEARS / 130,000KM WHICHEVER COMES FIRST",LIGHT DUTY TRUCK
MAXUS,T60,ELITE,MAXUS T60 ELITE,"5 YEARS / 130,000KM WHICHEVER COMES FIRST",PICKUP
MAXUS,T60,COMFORT 4X2,MAXUS T60 COMFORT 4X2,"5 YEARS / 130,000KM WHICHEVER COMES FIRST",PICKUP
MAXUS,T60,COMFORT 4X4,MAXUS T60 COMFORT 4X4,"5 YEARS / 130,000KM WHICHEVER COMES FIRST",PICKUP
MAXUS,T60,COMFORT 4X4 (CNG),MAXUS T60 COMFORT 4X4 (CNG),"5 YEARS / 130,000KM WHICHEVER COMES FIRST",PICKUP
MAXUS,T60,LUXURY,MAXUS T60 LUXURY,"5 YEARS / 130,000KM WHICHEVER COMES FIRST",PICKUP
GWM,TANK500,PRESTIGE,GWM TANK500 PRESTIGE,"10 YEARS / 1,000,000KM WHICHEVER COMES FIRST",SUV - D
GWM,TANK300,HERITAGE,GWM TANK300 HERITAGE,"10 YEARS / 1,000,000KM WHICHEVER COMES FIRST",SUV - C
ZNA,RICH 6,LUXURY PLUS 4 X 4,ZNA RICH 6 LUXURY PLUS 4 X 4,"3 YEARS / 100,000KM WHICHEVER COMES FIRST",PICKUP
ZNA,RICH 6,LUXURY 4 X 4,ZNA RICH 6 LUXURY 4 X 4,"3 YEARS / 100,000KM WHICHEVER COMES FIRST",PICKUP
ZNA,RICH 6,LUXURY 4 X 4 (CNG),ZNA RICH 6 LUXURY 4 X 4 (CNG),"3 YEARS / 100,000KM WHICHEVER COMES FIRST",PICKUP
ZNA,RICH 6,PRO 4 X 2,ZNA RICH 6 PRO 4 X 2,"3 YEARS / 100,000KM WHICHEVER COMES FIRST",PICKUP
DFAC,CAPTAIN W,1.5T SINGLE ROW -FLAT CARGO,DFAC CAPTAIN W 1.5T SINGLE ROW -FLAT CARGO,"3 YEARS / 100,000KM WHICHEVER COMES FIRST",LIGHT DUTY TRUCK
DFAC,CAPTAIN W,1.5T SINGLE ROW - CARGO BOX,DFAC CAPTAIN W 1.5T SINGLE ROW - CARGO BOX,"3 YEARS / 100,000KM WHICHEVER COMES FIRST",LIGHT DUTY TRUCK
DFAC,CAPTAIN W,1.5T DOUBLE ROW - FLAT CARGO,DFAC CAPTAIN W 1.5T DOUBLE ROW - FLAT CARGO,"3 YEARS / 100,000KM WHICHEVER COMES FIRST",LIGHT DUTY TRUCK
DFAC,CAPTAIN W,1.5T DOUBLE ROW - CARGO BOX,DFAC CAPTAIN W 1.5T DOUBLE ROW - CARGO BOX,"3 YEARS / 100,000KM WHICHEVER COMES FIRST",LIGHT DUTY TRUCK
DFAC,CAPTAIN W,12+2 PASSENGER VAN - PETROL,DFAC CAPTAIN W 12+2 PASSENGER VAN - PETROL,"3 YEARS / 100,000KM WHICHEVER COMES FIRST",BUS
DFAC,CAPTAIN W,12+2 PASSENGER VAN - CNG,DFAC CAPTAIN W 12+2 PASSENGER VAN - CNG,"3 YEARS / 100,000KM WHICHEVER COMES FIRST",BUS
DFAC,CAPTAIN W,CARGO VAN - PETROL,DFAC CAPTAIN W CARGO VAN - PETROL,"3 YEARS / 100,000KM WHICHEVER COMES FIRST",BUS
DFAC,CAPTAIN T,2.5T SINGLE ROW - FLAT CARGO,DFAC CAPTAIN T 2.5T SINGLE ROW - FLAT CARGO,"3 YEARS / 100,000KM WHICHEVER COMES FIRST",LIGHT DUTY TRUCK
DFAC,CAPTAIN T,2.5T SINGLE ROW - CARGO BOX,DFAC CAPTAIN T 2.5T SINGLE ROW - CARGO BOX,"3 YEARS / 100,000KM WHICHEVER COMES FIRST",LIGHT DUTY TRUCK
DFAC,CAPTAIN T,2T SINGLE ROW - FLAT CARGO,DFAC CAPTAIN T 2T SINGLE ROW - FLAT CARGO,"3 YEARS / 100,000KM WHICHEVER COMES FIRST",LIGHT DUTY TRUCK
DFAC,CAPTAIN T,2T SINGLE ROW - CARGO BOX,DFAC CAPTAIN T 2T SINGLE ROW - CARGO BOX,"3 YEARS / 100,000KM WHICHEVER COMES FIRST",LIGHT DUTY TRUCK
KMC,D3,5T,KMC D3 5T,"3 YEARS / 100,000KM WHICHEVER COMES FIRST",LIGHT DUTY TRUCK
KMC,D3,3T,KMC D3 3T,"3 YEARS / 100,000KM WHICHEVER COMES FIRST",LIGHT DUTY TRUCK
KMC,D3,1.5T,KMC D3 1.5T,"3 YEARS / 100,000KM WHICHEVER COMES FIRST",LIGHT DUTY TRUCK
KMC,P3,7T,KMC P3 7T,"3 YEARS / 100,000KM WHICHEVER COMES FIRST",LIGHT DUTY TRUCK
HYUNDAI,30DE-7,,HYUNDAI 30DE-7,1 YEAR/ 2000 WORKING HOURS,FORKLIFT
HYUNDAI,30L-7SA,,HYUNDAI 30L-7SA,1 YEAR/ 2000 WORKING HOURS,FORKLIFT
HYUNDAI,30LE-7,,HYUNDAI 30LE-7,1 YEAR/ 2000 WORKING HOURS,FORKLIFT
HYUNDAI,50D-9SA,,HYUNDAI 50D-9SA,1 YEAR/ 2000 WORKING HOURS,FORKLIFT
HYUNDAI,HL660L,,HYUNDAI HL660L,1 YEAR/ 2000 WORKING HOURS,WHEELED LOADER
HYUNDAI,HX340SL,,HYUNDAI HX340SL,1 YEAR/ 2000 WORKING HOURS,CRAWLER EXCAVATOR
HYUNDAI,HSL650,,HYUNDAI HSL650,1 YEAR/ 2000 WORKING HOURS,SKID STEER
LOVOL,FL955F,,LOVOL FL955F,1 YEAR/ 2000 WORKING HOURS,WHEELED LOADER
LOVOL,FL935F,,LOVOL FL935F,1 YEAR/ 2000 WORKING HOURS,WHEELED LOADER
LOVOL,FR220D,,LOVOL FR220D,1 YEAR/ 2000 WORKING HOURS,CRAWLER EXCAVATOR
LOVOL,FLB468 II,,LOVOL FLB468 II,1 YEAR/ 2000 WORKING HOURS,BACKHOE LOADER
LOVOL,FSL45,,LOVOL FSL45,1 YEAR/ 2000 WORKING HOURS,SKID STEER
FOTON,CS2,,FOTON CS2,,BUS
DINGZHOU,CHANGAN CITY BUS,40 SEATER BUS,DINGZHOU CHANGAN CITY BUS 40 SEATER BUS,"5 YEARS/ 150,000KM WHICHEVER COMES FIRST",BUS
